метража́ми	metražámi	[mʲɪtrɐˈʐamʲɪ]
облюбо́вывает	obljubóvyvajet	[ɐblʲʊˈbovɨvə(j)ɪt]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
песо́чницам	pesóčnicam	[pʲɪˈsot͡ɕnʲɪt͡səm]
приравня́юсь	priravnjájusʹ	[prʲɪrɐvˈnʲæjʉsʲ]
исто́пите	istópite	[ɪˈstopʲɪtʲe]
пригото́вились	prigotóvilisʹ	[prʲɪɡɐˈtovʲɪlʲɪsʲ]
сни́кнуть	sníknutʹ	[ˈsʲnʲiknʊtʲ]
подтекла́	podteklá	[pətʲːɪˈkla]
мюо́нам	mjuónam	[mʲʊˈonəm]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
зачли́сь	začlísʹ	[zɐt͡ɕˈlʲisʲ]
сво́дов	svódov	[ˈsvodəf]
прибу́дете	pribúdete	[prʲɪˈbudʲɪtʲe]
обка́тываешь	obkátyvaješʹ	[ɐpˈkatɨvə(j)ɪʂ]
ора́нжевый	oránževyj	[ɐˈranʐɨvɨj]
ро́динами	ródinami	[ˈrodʲɪnəmʲɪ]
изнемога́я	iznemogája	[ɪzʲnʲɪmɐˈɡajə]
предлага́ть	predlagátʹ	[prʲɪdlɐˈɡatʲ]
совокупле́ния	sovokuplénija	[səvəkʊˈplʲenʲɪjə]
аббревиа́ции	abbreviácii	[ɐbrʲɪvʲɪˈat͡sɨɪ]
уясни́т	ujasnít	[ʊ(j)ɪsʲˈnʲit]
		
клади́те	kladíte	[klɐˈdʲitʲe]
ро́ликом	rólikom	[ˈrolʲɪkəm]
ви́це-премье́р	více-premʹjér	[ˌvʲit͡sɨ prʲɪˈm⁽ʲ⁾jer]
прогнива́ю	progniváju	[prəɡnʲɪˈvajʊ]
субти́пами	subtípami	[sʊpˈtʲipəmʲɪ]
ту́тою	tútoju	[ˈtutəjʊ]
уточня́ли	utočnjáli	[ʊtɐt͡ɕˈnʲælʲɪ]
дожди́сь	doždísʹ	[dɐʐˈdʲisʲ]
апа́тиям	apátijam	[ɐˈpatʲɪjəm]
вы́полни	výpolni	[ˈvɨpəlnʲɪ]
срасту́сь	srastúsʹ	[srɐˈstusʲ]
до́блестях	dóblestjax	[ˈdoblʲɪsʲtʲəx]
рефинанси́руя	refinansíruja	[rʲɪfʲɪnɐn⁽ʲ⁾ˈsʲirʊjə]
алама́нном	alamánnom	[ɐlɐˈmanəm]
патоге́ну	patogénu	[pətɐˈɡʲenʊ]
дока́зываете	dokázyvajete	[dɐˈkazɨvə(j)ɪtʲe]
нака́пливается	nakáplivajetsja	[nɐˈkaplʲɪvə(j)ɪt͡sə]
узде́	uzdé	[ʊzʲˈdʲe]
реаги́ровавши	reagírovavši	[rʲɪɐˈɡʲirəvəfʂɨ]
чайната́унов	čajnatáunov	[t͡ɕɪjnɐˈtaʊnəf]
чи́ркающий	čírkajuščij	[ˈt͡ɕirkəjʉɕːɪj]
огля́дывайте	ogljádyvajte	[ɐˈɡlʲadɨvəjtʲe]
посо́ле	posóle	[pɐˈsolʲe]
убеждённый	ubeždjónnyj	[ʊbʲɪʐˈdʲɵnːɨj]
бро́сивший	brósivšij	[ˈbrosʲɪfʂɨj]
приготовля́ться	prigotovljátʹsja	[prʲɪɡətɐˈvlʲat͡sːə]
прибира́ет	pribirájet	[prʲɪbʲɪˈra(j)ɪt]
но́чек	nóček	[ˈnot͡ɕɪk]
народовла́стием	narodovlástijem	[nərədɐˈvlasʲtʲɪ(j)ɪm]
бубни́	bubní	[bʊbˈnʲi]
пригоре́ть	prigorétʹ	[prʲɪɡɐˈrʲetʲ]
взбрела́	vzbrelá	[vzbrʲɪˈla]
обезгла́вили	obezglávili	[ɐbʲɪzˈɡlavʲɪlʲɪ]
пе́сенок	pésenok	[ˈpʲesʲɪnək]
приеди́мся	prijedímsja	[prʲɪ(j)ɪˈdʲimsʲə]
разочару́етесь	razočarújetesʹ	[rəzət͡ɕɪˈru(j)ɪtʲɪsʲ]
скро́мность	skrómnostʹ	[ˈskromnəsʲtʲ]
пурго́ю	purgóju	[pʊrˈɡojʊ]
наркома́нкой	narkománkoj	[nərkɐˈmankəj]
энциклопе́диям	enciklopédijam	[ɪnt͡sɨklɐˈpʲedʲɪjəm]
пери́оде	període	[pʲɪˈrʲiədʲe]
фри́зами	frízami	[ˈfrʲizəmʲɪ]
абсорби́рованиями	absorbírovanijami	[ɐpsɐrˈbʲirəvənʲɪjəmʲɪ]
пропо́лют	propóljut	[prɐˈpolʲʊt]
фрикаде́лькой	frikadɛ́lʹkoj	[frʲɪkɐˈdɛlʲkəj]
акти́вные зало́ги	aktívnyje zalógi	[ɐkˈtʲivnɨje zɐˈloɡʲɪ]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
одиннадцатиуго́льников	odinnadcatiugólʹnikov	[ɐˌdʲinət͡s(ː)ɨtʲɪʊˈɡolʲnʲɪkəf]
пореши́т	porešít	[pərʲɪˈʂɨt]
полу́дням	polúdnjam	[pɐˈludʲnʲəm]
алжи́рки	alžírki	[ɐlˈʐɨrkʲɪ]
заду́мываясь	zadúmyvajasʹ	[zɐˈdumɨvə(j)ɪsʲ]
промы́шленный переворо́т	promýšlennyj perevorót	[prɐˈmɨʂlʲɪn(ː)ɨj pʲɪrʲɪvɐˈrot]
подстра́ивалась	podstráivalasʹ	[pɐt͡sˈstraɪvələsʲ]
посторо́нний	postorónnij	[pəstɐˈronʲːɪj]
потуши́л	potušíl	[pətʊˈʂɨl]
ба́бят	bábjat	[ˈbabʲət]
содра́ло	sodrálo	[sɐˈdralə]
зада́вливаемый	zadávlivajemyj	[zɐˈdavlʲɪvə(j)ɪmɨj]
обгоня́ете	obgonjájete	[ɐbɡɐˈnʲæ(j)ɪtʲe]
облака́м	oblakám	[ɐblɐˈkam]
объясня́емый	obʺjasnjájemyj	[ɐbjɪsʲˈnʲæ(j)ɪmɨj]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
стара́ешься	staráješʹsja	[stɐˈra(j)ɪʂsʲə]
ра́ке	ráke	[ˈrakʲe]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
э́тику	étiku	[ˈɛtʲɪkʊ]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
монуме́нте	monuménte	[mənʊˈmʲenʲtʲe]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
ы	y	[ɨ]
а́каю	ákaju	[ˈakəjʊ]
арому́нский	aromúnskij	[ɐrɐˈmunskʲɪj]
		
Организа́ция Объединённых На́ций	Organizácija Obʺjedinjónnyx Nácij	[ɐrɡənʲɪˈzat͡sɨjə ɐbjɪdʲɪˈnʲɵnːɨx ˈnat͡sɨj]
универса́лен	universálen	[ʊnʲɪvʲɪrˈsalʲɪn]
и́родами	írodami	[ˈirədəmʲɪ]
святи́телях	svjatíteljax	[svʲɪˈtʲitʲɪlʲəx]
смирю́	smirjú	[smʲɪˈrʲu]
наделя́т	nadelját	[nədʲɪˈlʲat]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
напусти́вши	napustívši	[nəpʊˈsʲtʲifʂɨ]
бри́тва	brítva	[ˈbrʲitvə]
импортёра	importjóra	[ɪmpɐrˈtʲɵrə]
устро́ивший	ustróivšij	[ʊˈstroɪfʂɨj]
возрастно́м андроге́нном дефици́те	vozrastnóm androgénnom deficíte	[vəzrɐsˈnom ɐndrɐˈɡʲenːəm dʲɪfʲɪˈt͡sɨtʲe]
молоды́м лю́дям	molodým ljúdjam	[məlɐˈdɨm ˈlʲʉdʲəm]
полоня́нами	polonjánami	[pəlɐˈnʲanəmʲɪ]
мужски́е ро́ды	mužskíje ródy	[mʊʂˈskʲije ˈrodɨ]
гонг	gong	[ɡonk]
поте́шившийся	potéšivšijsja	[pɐˈtʲeʂɨfʂɨjsʲə]
заверша́ющийся	zaveršájuščijsja	[zəvʲɪrˈʂajʉɕːɪjsʲə]
исся́кло	issjáklo	[ɪˈsʲːaklə]
пополня́ясь	popolnjájasʹ	[pəpɐlˈnʲæ(j)ɪsʲ]
переска́занным	pereskázannym	[pʲɪrʲɪˈskazən(ː)ɨm]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
электродви́гатели	elektrodvígateli	[ɪˌlʲektrɐdˈvʲiɡətʲɪlʲɪ]
выде́лывалось	vydélyvalosʹ	[vɨˈdʲelɨvələsʲ]
		
закла́дку	zakládku	[zɐˈklatkʊ]
мя́гок	mjágok	[ˈmʲaɡək]
вози́ло	vozílo	[vɐˈzʲilə]
напа́рывает	napáryvajet	[nɐˈparɨvə(j)ɪt]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
уберега́ете	uberegájete	[ʊbʲɪrʲɪˈɡa(j)ɪtʲe]
прибира́йте	pribirájte	[prʲɪbʲɪˈrajtʲe]
недо́брого	nedóbrovo	[nʲɪˈdobrəvə]
забива́лся	zabiválsja	[zəbʲɪˈvals⁽ʲ⁾ə]
приспособля́ете	prisposobljájete	[prʲɪspəsɐˈblʲæ(j)ɪtʲe]
спиртно́му	spirtnómu	[spʲɪrtˈnomʊ]
воро́чалась	voróčalasʹ	[vɐˈrot͡ɕɪləsʲ]
сменя́етесь	smenjájetesʹ	[smʲɪˈnʲæ(j)ɪtʲɪsʲ]
впу́стишь	vpústišʹ	[ˈfpusʲtʲɪʂ]
угляде́вший	ugljadévšij	[ʊɡlʲɪˈdʲefʂɨj]
закача́ло	zakačálo	[zəkɐˈt͡ɕalə]
позво́лят	pozvóljat	[pɐzˈvolʲət]
ада́птеры	adáptɛry	[ɐˈdaptɨrɨ]
ке́ке	kéke	[ˈkʲekʲe]
вход	vxod	[fxot]
кста́ти	kstáti	[ˈkstatʲɪ]
горни́ла	gorníla	[ɡɐrˈnʲilə]
козлу́ отпуще́ния	kozlú otpuščénija	[kɐzˈlu ɐtpʊˈɕːenʲɪjə]
ока́пывая	okápyvaja	[ɐˈkapɨvəjə]
символи́змы	simvolízmy	[sʲɪmvɐˈlʲizmɨ]
подтасова́ло	podtasoválo	[pətːəsɐˈvalə]
воодушевлю́	vooduševljú	[vɐɐdʊʂɨˈvlʲu]
напоёте	napojóte	[nəpɐˈjɵtʲe]
жестикули́руйте	žestikulírujte	[ʐɨsʲtʲɪkʊˈlʲirʊjtʲe]
аге́нтом	agéntom	[ɐˈɡʲentəm]
бры́знуть	brýznutʹ	[ˈbrɨznʊtʲ]
тра́вами	trávami	[ˈtravəmʲɪ]
микро́нах	mikrónax	[mʲɪˈkronəx]
баско́й	baskój	[bɐˈskoj]
мча́лось	mčálosʹ	[ˈmt͡ɕaləsʲ]
заслони́вши	zaslonívši	[zəslɐˈnʲifʂɨ]
ку́рочки	kúročki	[ˈkurət͡ɕkʲɪ]
азури́ту	azurítu	[ɐzʊˈrʲitʊ]
сюи́те	sjuíte	[sʲʊˈitʲe]
браня́тся	branjátsja	[brɐˈnʲat͡sːə]
альбаа́ках	alʹbaákax	[ɐlʲbɐˈakəx]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
а́белево кольцо́	ábelevo kolʹcó	[ˈabʲɪlʲɪvə kɐlʲˈt͡so]
сига́ете	sigájete	[sʲɪˈɡa(j)ɪtʲe]
швартова́вши	švartovávši	[ʂvərtɐˈvafʂɨ]
лицеме́рит	licemérit	[lʲɪt͡sɨˈmʲerʲɪt]
ро́спусках	róspuskax	[ˈrospʊskəx]
шизофрени́я	šizofreníja	[ʂɨzəfrʲɪˈnʲijə]
разнеси́те	raznesíte	[rəzʲnʲɪˈsʲitʲe]
печа́лью	pečálʹju	[pʲɪˈt͡ɕælʲjʊ]
завари́вши	zavarívši	[zəvɐˈrʲifʂɨ]
тесёмками	tesjómkami	[tʲɪˈsʲɵmkəmʲɪ]
увяда́ет	uvjadájet	[ʊvʲɪˈda(j)ɪt]
уда́чен	udáčen	[ʊˈdat͡ɕɪn]
реша́ешь	rešáješʹ	[rʲɪˈʂa(j)ɪʂ]
ба́бушками	bábuškami	[ˈbabʊʂkəmʲɪ]
замеси́ть	zamesítʹ	[zəmʲɪˈsʲitʲ]
атмосфе́рном давле́нии	atmosférnom davlénii	[ɐtmɐˈsfʲernəm dɐˈvlʲenʲɪɪ]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
громя́	gromjá	[ɡrɐˈmʲa]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
анеро́иды	aneróidy	[ɐnʲɪˈroɪdɨ]
этнокульту́ра	etnokulʹtúra	[ˌɛtnəkʊlʲˈturə]
преле́стный	preléstnyj	[prʲɪˈlʲesnɨj]
закономе́рны	zakonomérny	[zəkənɐˈmʲernɨ]
расхо́чет	rasxóčet	[rɐˈsxot͡ɕɪt]
гонг	gong	[ɡonk]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
ко́нчатся	kónčatsja	[ˈkonʲt͡ɕət͡sə]
заме́нимся	zaménimsja	[zɐˈmʲenʲɪmsʲə]
преподнесу́т	prepodnesút	[prʲɪpədʲnʲɪˈsut]
уве́чила	uvéčila	[ʊˈvʲet͡ɕɪlə]
мужененави́стницы	muženenavístnicy	[ˌmuʐɨnʲɪnɐˈvʲisʲnʲɪt͡sɨ]
оттеня́ешь	ottenjáješʹ	[ɐtʲːɪˈnʲæ(j)ɪʂ]
ре́йдам	réjdam	[ˈrʲejdəm]
уплотне́ниях	uplotnénijax	[ʊplɐtʲˈnʲenʲɪjəx]
гига́нтами	gigántami	[ɡʲɪˈɡantəmʲɪ]
вооруже́ния	vooružénija	[vɐɐrʊˈʐɛnʲɪjə]
подстро́итесь	podstróitesʹ	[pɐt͡sˈstroɪtʲɪsʲ]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
мо́нстром	mónstrom	[ˈmonstrəm]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
цвети́те	cvetíte	[t͡svʲɪˈtʲitʲe]
переклика́в	pereklikáv	[pʲɪrʲɪklʲɪˈkaf]
гонг	gong	[ɡonk]
забракова́в	zabrakováv	[zəbrəkɐˈvaf]
нагова́риваемый	nagovárivajemyj	[nəɡɐˈvarʲɪvə(j)ɪmɨj]
исто́ки	istóki	[ɪˈstokʲɪ]
спада́йся	spadájsja	[spɐˈdajsʲə]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
раски́дывалась	raskídyvalasʹ	[rɐˈskʲidɨvələsʲ]
проспа́ло	prospálo	[prɐˈspalə]
переска́зана	pereskázana	[pʲɪrʲɪˈskazənə]
малы́шкам	malýškam	[mɐˈlɨʂkəm]
ухитрю́сь	uxitrjúsʹ	[ʊxʲɪˈtrʲʉsʲ]
торопли́востями	toroplívostjami	[tərɐˈplʲivəsʲtʲəmʲɪ]
светофо́рах	svetofórax	[svʲɪtɐˈforəx]
смущу́	smuščú	[smʊˈɕːu]
шата́лась	šatálasʹ	[ʂɐˈtaləsʲ]
щипнём	ščipnjóm	[ɕːɪpˈnʲɵm]
возрази́вший	vozrazívšij	[vəzrɐˈzʲifʂɨj]
долби́т	dolbít	[dɐlˈbʲit]
извиня́ла	izvinjála	[ɪzvʲɪˈnʲalə]
антресо́лях	antresóljax	[ɐntrʲɪˈsolʲəx]
отпа́вший	otpávšij	[ɐtˈpafʂɨj]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
вжима́л	vžimál	[vʐɨˈmal]
поте́шитесь	potéšitesʹ	[pɐˈtʲeʂɨtʲɪsʲ]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
первоисто́чнике	pervoistóčnike	[pʲɪrvəɪˈstot͡ɕnʲɪkʲe]
мира́ми	mirámi	[mʲɪˈramʲɪ]
бо́жьею коро́вкою	bóžʹjeju koróvkoju	[ˈboʐjɪjʊ kɐˈrofkəjʊ]
доба́вите	dobávite	[dɐˈbavʲɪtʲe]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
прибега́йте	pribegájte	[prʲɪbʲɪˈɡajtʲe]
тари́фом	tarífom	[tɐˈrʲifəm]
башки́рском	baškírskom	[bɐʂˈkʲirskəm]
обзыва́ете	obzyvájete	[ɐbzɨˈva(j)ɪtʲe]
отсе́ки	otséki	[ɐt͡sʲˈsʲekʲɪ]
шпик	špik	[ʂpʲik]
каске́тов	kaskétov	[kɐˈskʲetəf]
закупа́ться	zakupátʹsja	[zəkʊˈpat͡sːə]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
зате́ривай	zatérivaj	[zɐˈtʲerʲɪvəj]
опресня́ете	opresnjájete	[ɐprʲɪsʲˈnʲæ(j)ɪtʲe]
схо́дим	sxódim	[ˈsxodʲɪm]
завя́зывавшийся	zavjázyvavšijsja	[zɐˈvʲazɨvəfʂɨjsʲə]
подтвержда́ться	podtverždátʹsja	[pətːvʲɪrʐˈdat͡sːə]
разрыва́емый	razryvájemyj	[rəzrɨˈva(j)ɪmɨj]
аби́лкою	abílkoju	[ɐˈbʲilkəjʊ]
фул-ха́усах	ful-xáusax	[ful ˈxaʊsəx]
толмача́х	tolmačáx	[təlmɐˈt͡ɕax]
превали́рованием	prevalírovanijem	[prʲɪvɐˈlʲirəvənʲɪ(j)ɪm]
богате́йший	bogatéjšij	[bəɡɐˈtʲejʂɨj]
душко́м	duškóm	[dʊʂˈkom]
переска́зана	pereskázana	[pʲɪrʲɪˈskazənə]
мочу́	močú	[mɐˈt͡ɕu]
я́хты	jáxty	[ˈjaxtɨ]
поши́ве	pošíve	[pɐˈʂɨvʲe]
возду́шный то́рмоз	vozdúšnyj tórmoz	[vɐzˈduʂnɨj ˈtorməs]
сундука́м	sundukám	[sʊndʊˈkam]
враща́ться	vraščátʹsja	[vrɐˈɕːat͡sːə]
метафи́зиках	metafízikax	[mʲɪtɐˈfʲizʲɪkəx]
перемежа́лись	peremežálisʹ	[pʲɪrʲɪmʲɪˈʐalʲɪsʲ]
расхища́ла	rasxiščála	[rəsxʲɪˈɕːalə]
отхвати́в	otxvatív	[ɐtxvɐˈtʲif]
увива́йтесь	uvivájtesʹ	[ʊvʲɪˈvajtʲɪsʲ]
вы́я	výja	[ˈvɨjə]
округля́ясь	okrugljájasʹ	[ɐkrʊˈɡlʲæ(j)ɪsʲ]
осуждённые	osuždjónnyje	[ɐsʊʐˈdʲɵnːɨje]
предава́й	predaváj	[prʲɪdɐˈvaj]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
управля́ется	upravljájetsja	[ʊprɐˈvlʲæ(j)ɪt͡sə]
акклиматизи́руйте	akklimatizírujte	[ɐklʲɪmətʲɪˈzʲirʊjtʲe]
позо́рище	pozórišče	[pɐˈzorʲɪɕːe]
хокке́и	xokkéi	[xɐˈkʲeɪ]
родничка́ми	rodničkámi	[rədʲnʲɪt͡ɕˈkamʲɪ]
ири́дию	irídiju	[ɪˈrʲidʲɪjʊ]
непригото́вленный	neprigotóvlennyj	[nʲɪprʲɪɡɐˈtovlʲɪn(ː)ɨj]
обыгра́ет	obygrájet	[ɐbɨˈɡra(j)ɪt]
уси́живала	usíživala	[ʊˈsʲiʐɨvələ]
окайми́шь	okajmíšʹ	[ɐkɐjˈmʲiʂ]
чаево́дам	čajevódam	[t͡ɕɪ(j)ɪˈvodəm]
позна́ниях	poznánijax	[pɐzˈnanʲɪjəx]
раздража́вшийся	razdražávšijsja	[rəzdrɐˈʐafʂɨjsʲə]
цара́пался	carápalsja	[t͡sɐˈrapəls⁽ʲ⁾ə]
несерьёзный	neserʹjóznyj	[nʲɪsʲɪˈrʲjɵznɨj]
настра́ивались	nastráivalisʹ	[nɐˈstraɪvəlʲɪsʲ]
шмыгну́т	šmygnút	[ʂmɨɡˈnut]
преобража́вшийся	preobražávšijsja	[prʲɪəbrɐˈʐafʂɨjsʲə]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
остыва́ете	ostyvájete	[ɐstɨˈva(j)ɪtʲe]
пита́тельных кре́мов	pitátelʹnyx krémov	[pʲɪˈtatʲɪlʲnɨx ˈkrʲeməf]
устана́вливаемся	ustanávlivajemsja	[ʊstɐˈnavlʲɪvə(j)ɪmsʲə]
архипела́гу	arxipelágu	[ɐrxʲɪpʲɪˈlaɡʊ]
баско́й	baskój	[bɐˈskoj]
мента́льностью	mentálʹnostʹju	[mʲɪnˈtalʲnəsʲtʲjʊ]
разведе́нию	razvedéniju	[rəzvʲɪˈdʲenʲɪjʊ]
жи́те	žíte	[ˈʐɨtʲe]
шепеля́вь	šepeljávʹ	[ʂɨpʲɪˈlʲæfʲ]
выселя́ющий	vyseljájuščij	[vɨsʲɪˈlʲæjʉɕːɪj]
губу́	gubú	[ɡʊˈbu]
добы́тчикам	dobýtčikam	[dɐˈbɨt͡ɕːɪkəm]
волчи́ца	volčíca	[vɐlˈt͡ɕit͡sə]
обгоре́ло	obgorélo	[ɐbɡɐˈrʲelə]
ле́звие	lézvije	[ˈlʲezvʲɪje]
ребятнёй	rebjatnjój	[rʲɪbʲɪtʲˈnʲɵj]
конто́рскою кни́гою	kontórskoju knígoju	[kɐnˈtorskəjʊ ˈknʲiɡəjʊ]
раздви́ну	razdvínu	[rɐzdˈvʲinʊ]
тома́тами	tomátami	[tɐˈmatəmʲɪ]
опра́вдывались	oprávdyvalisʹ	[ɐˈpravdɨvəlʲɪsʲ]
па́схами	pásxami	[ˈpasxəmʲɪ]
изгота́вливающийся	izgotávlivajuščijsja	[ɪzɡɐˈtavlʲɪvəjʉɕːɪjsʲə]
ку́бику Ру́бика	kúbiku Rúbika	[ˈkubʲɪkʊ ˈrubʲɪkə]
переверну́в	perevernúv	[pʲɪrʲɪvʲɪrˈnuf]
де́нешься	dénešʹsja	[ˈdʲenʲɪʂsʲə]
присягну́вший	prisjagnúvšij	[prʲɪsʲɪɡˈnufʂɨj]
гоня́ющий	gonjájuščij	[ɡɐˈnʲæjʉɕːɪj]
ежеви́ках	ježevíkax	[(j)ɪʐɨˈvʲikəx]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
беззабо́тностях	bezzabótnostjax	[bʲɪzːɐˈbotnəsʲtʲəx]
родника́м	rodnikám	[rədʲnʲɪˈkam]
ма́нтиям	mántijam	[ˈmanʲtʲɪjəm]
козя́вкой	kozjávkoj	[kɐˈzʲafkəj]
Пороше́нко	Porošénko	[pərɐˈʂɛnkə]
затемня́вши	zatemnjávši	[zətʲɪˈmnʲafʂɨ]
девяно́ста пятью́	devjanósta pjatʹjú	[dʲɪvʲɪˈnostə pʲɪˈtʲju]
инспе́кцией	inspékcijej	[ɪnˈspʲekt͡sɨ(j)ɪj]
вори́шки	voríški	[vɐˈrʲiʂkʲɪ]
кача́ясь	kačájasʹ	[kɐˈt͡ɕæ(j)ɪsʲ]
свихну́ли	svixnúli	[svʲɪxˈnulʲɪ]
змеёю	zmejóju	[zmʲɪˈjɵjʊ]
забре́зжат	zabrézžat	[zɐˈbrʲeʐːət]
загрохочу́	zagroxočú	[zəɡrəxɐˈt͡ɕu]
антисемити́змам	antisemitízmam	[ˌanʲtʲɪsʲɪmʲɪˈtʲizməm]
заключи́м	zaključím	[zəklʲʉˈt͡ɕim]
бого́в	bogóv	[bɐˈɡof]
выводи́ло	vyvodílo	[vɨvɐˈdʲilə]
башма́чников	bašmáčnikov	[bɐʂˈmat͡ɕnʲɪkəf]
местонахожде́нием	mestonaxoždénijem	[ˌmʲestənəxɐʐˈdʲenʲɪ(j)ɪm]
ю́рту	júrtu	[ˈjurtʊ]
дисквалифика́циях	diskvalifikácijax	[dʲɪskvəlʲɪfʲɪˈkat͡sɨjəx]
кощу́нство	koščúnstvo	[kɐˈɕːunstvə]
абсорбе́нтный	absorbéntnyj	[ɐpsɐrˈbʲentnɨj]
двоежёнстве	dvoježónstve	[dvə(j)ɪˈʐonstvʲe]
помо́ек	pomójek	[pɐˈmo(j)ɪk]
ста́рость	stárostʹ	[ˈstarəsʲtʲ]
лососёвых	lososjóvyx	[ləsɐˈsʲɵvɨx]
разобщи́ли	razobščíli	[rəzɐpˈɕːilʲɪ]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
деревя́нность	derevjánnostʹ	[dʲɪrʲɪˈvʲanːəsʲtʲ]
баллоти́руйтесь	ballotírujtesʹ	[bəlɐˈtʲirʊjtʲɪsʲ]
наце́нивает	nacénivajet	[nɐˈt͡sɛnʲɪvə(j)ɪt]
текти́те	tektíte	[tʲɪkˈtʲitʲe]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
алле́ею	alléjeju	[ɐˈlʲe(j)ɪjʊ]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
радика́лами	radikálami	[rədʲɪˈkaləmʲɪ]
объединя́ется	obʺjedinjájetsja	[ɐbjɪdʲɪˈnʲæ(j)ɪt͡sə]
ва́рятся	várjatsja	[ˈvarʲət͡sə]
уразуме́ешь	urazuméješʹ	[ʊrəzʊˈmʲe(j)ɪʂ]
моното́нностью	monotónnostʹju	[mənɐˈtonːəsʲtʲjʊ]
шизофре́нике	šizofrénike	[ʂɨzɐˈfrʲenʲɪkʲe]
полузащи́тниками	poluzaščítnikami	[pəlʊzɐˈɕːitʲnʲɪkəmʲɪ]
антивещества́	antiveščestvá	[ˌanʲtʲɪvʲɪɕːɪstˈva]
разорви́сь	razorvísʹ	[rəzɐrˈvʲisʲ]
актуализи́ровало	aktualizírovalo	[ɐktʊəlʲɪˈzʲirəvələ]
просо́хнуть	prosóxnutʹ	[prɐˈsoxnʊtʲ]
здоро́ва	zdoróva	[zdɐˈrovə]
кассе́тами	kassétami	[kɐˈsʲetəmʲɪ]
отбива́лись	otbiválisʹ	[ɐdbʲɪˈvalʲɪsʲ]
уберега́ющий	uberegájuščij	[ʊbʲɪrʲɪˈɡajʉɕːɪj]
ми́лочке	míločke	[ˈmʲilət͡ɕkʲe]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
неоднозна́чностям	neodnoznáčnostjam	[nʲɪədnɐzˈnat͡ɕnəsʲtʲəm]
курку́мах	kurkúmax	[kʊrˈkuməx]
авиа́тор	aviátor	[ɐvʲɪˈatər]
соглаша́ется	soglašájetsja	[səɡlɐˈʂa(j)ɪt͡sə]
ши́рмою	šírmoju	[ˈʂɨrməjʊ]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
ды́ха	dýxa	[ˈdɨxə]
набо́р	nabór	[nɐˈbor]
субстра́те	substráte	[sʊpˈstratʲe]
шпик	špik	[ʂpʲik]
